,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"d[0, 0]",1.219,0.325,0.691,1.748,0.005,0.004,3659.0,2920.0,1.0
"d[0, 1]",1.913,0.389,1.302,2.553,0.006,0.005,3995.0,3318.0,1.0
"d[0, 2]",1.792,0.333,1.278,2.362,0.004,0.003,7054.0,3076.0,1.0
"d[0, 3]",3.019,0.411,2.331,3.676,0.005,0.004,5796.0,2582.0,1.0
"d[0, 4]",2.048,0.342,1.489,2.608,0.005,0.003,5002.0,3049.0,1.0
"d[0, 5]",1.624,0.302,1.102,2.101,0.005,0.003,4126.0,3217.0,1.0
"d[0, 6]",2.09,0.331,1.552,2.622,0.004,0.003,6773.0,2933.0,1.0
"d[0, 7]",1.915,0.471,1.157,2.69,0.009,0.007,2627.0,2688.0,1.0
"d[0, 8]",3.041,0.443,2.313,3.758,0.007,0.005,3866.0,3074.0,1.0
"d[0, 9]",2.426,0.37,1.79,2.997,0.006,0.004,3933.0,2928.0,1.0
"d[0, 10]",1.334,0.329,0.77,1.851,0.004,0.003,5980.0,2495.0,1.0
"d[0, 11]",2.658,0.463,1.887,3.345,0.009,0.007,3043.0,2346.0,1.0
"d[0, 12]",1.871,0.349,1.293,2.43,0.006,0.004,4060.0,3170.0,1.0
"d[0, 13]",1.775,0.33,1.228,2.295,0.005,0.004,4488.0,2861.0,1.0
"d[0, 14]",1.454,0.297,0.971,1.957,0.004,0.003,5232.0,3250.0,1.0
"d[0, 15]",2.04,0.472,1.244,2.75,0.009,0.006,3107.0,2502.0,1.0
"d[0, 16]",1.337,0.302,0.84,1.824,0.004,0.003,6344.0,2898.0,1.0
"d[0, 17]",2.224,0.353,1.638,2.793,0.005,0.004,5792.0,2509.0,1.0
"d[0, 18]",2.283,0.394,1.619,2.892,0.006,0.005,3844.0,2970.0,1.0
"d[0, 19]",1.629,0.311,1.131,2.153,0.004,0.003,4967.0,2895.0,1.0
"d[0, 20]",2.439,0.362,1.843,3.021,0.005,0.003,6092.0,2826.0,1.0
"d[0, 21]",1.583,0.316,1.02,2.051,0.005,0.004,3771.0,3159.0,1.0
"d[0, 22]",2.287,0.364,1.656,2.856,0.006,0.004,4206.0,3121.0,1.0
"d[0, 23]",2.128,0.372,1.524,2.722,0.006,0.004,3837.0,3132.0,1.0
"d[0, 24]",2.469,0.35,1.869,3.011,0.005,0.003,5783.0,3274.0,1.0
"d[0, 25]",1.683,0.49,0.889,2.492,0.009,0.007,2962.0,2291.0,1.0
"d[0, 26]",1.68,0.312,1.143,2.164,0.004,0.003,5288.0,2819.0,1.0
"d[0, 27]",1.808,0.316,1.283,2.313,0.004,0.003,6513.0,3017.0,1.0
"d[0, 28]",2.001,0.328,1.449,2.526,0.004,0.003,5849.0,3005.0,1.0
"d[0, 29]",0.783,0.286,0.311,1.253,0.004,0.003,5870.0,3443.0,1.0
"d[0, 30]",0.651,0.287,0.202,1.134,0.004,0.003,5607.0,3176.0,1.0
"d[0, 31]",0.671,0.309,0.17,1.179,0.005,0.003,4582.0,3447.0,1.0
"d[0, 32]",2.567,0.363,1.985,3.173,0.005,0.003,5900.0,3217.0,1.0
"d[0, 33]",1.425,0.312,0.894,1.917,0.004,0.003,5481.0,2695.0,1.0
"d[0, 34]",2.279,0.356,1.681,2.856,0.006,0.004,4140.0,3128.0,1.0
"d[0, 35]",0.603,0.282,0.13,1.06,0.004,0.003,5328.0,3244.0,1.0
"d[0, 36]",2.237,0.347,1.67,2.798,0.005,0.003,5225.0,2971.0,1.0
"d[0, 37]",1.369,0.31,0.827,1.856,0.004,0.003,5010.0,3218.0,1.0
"d[0, 38]",1.137,0.297,0.611,1.585,0.004,0.003,5807.0,3350.0,1.0
"d[0, 39]",2.3,0.35,1.744,2.887,0.005,0.004,5135.0,3116.0,1.0
"d[0, 40]",1.504,0.301,1.018,2.007,0.004,0.003,5506.0,3034.0,1.0
"d[0, 41]",1.38,0.292,0.906,1.853,0.004,0.003,5537.0,2934.0,1.0
"d[0, 42]",0.821,0.288,0.362,1.303,0.004,0.003,5776.0,3093.0,1.0
"d[0, 43]",1.189,0.293,0.7,1.659,0.004,0.003,4269.0,3365.0,1.0
"d[0, 44]",2.329,0.349,1.761,2.917,0.005,0.003,5986.0,3051.0,1.0
"d[0, 45]",2.025,0.328,1.513,2.59,0.004,0.003,5946.0,3007.0,1.0
"d[0, 46]",2.413,0.457,1.646,3.111,0.008,0.006,3303.0,2290.0,1.0
"d[0, 47]",1.894,0.329,1.344,2.414,0.005,0.004,4472.0,3228.0,1.0
"d[0, 48]",2.315,0.362,1.727,2.901,0.004,0.003,6770.0,3145.0,1.0
"d[0, 49]",1.388,0.508,0.637,2.277,0.008,0.006,4124.0,2989.0,1.0
"d[0, 50]",1.959,0.323,1.446,2.505,0.005,0.003,4968.0,2577.0,1.0
"d[0, 51]",1.969,0.329,1.422,2.495,0.005,0.003,5134.0,3338.0,1.0
"d[0, 52]",3.21,0.426,2.532,3.942,0.006,0.004,5739.0,3032.0,1.0
"d[0, 53]",1.339,0.297,0.852,1.819,0.004,0.003,4592.0,2936.0,1.0
"d[0, 54]",2.728,0.378,2.083,3.322,0.005,0.004,5742.0,2940.0,1.0
"d[0, 55]",1.296,0.301,0.789,1.788,0.004,0.003,5076.0,3168.0,1.0
"d[0, 56]",2.309,0.449,1.614,3.053,0.007,0.005,4016.0,2637.0,1.0
