,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dl,1.484,0.057,1.392,1.58,0.002,0.001,974.0,1657.0,1.0
"dz[0, 0]",-0.221,0.428,-0.861,0.549,0.007,0.006,4057.0,2921.0,1.0
"dz[0, 1]",0.637,0.49,-0.187,1.413,0.009,0.007,3312.0,2192.0,1.0
"dz[0, 2]",0.578,0.427,-0.107,1.296,0.006,0.005,4688.0,2818.0,1.0
"dz[0, 3]",2.114,0.526,1.258,2.987,0.008,0.006,3920.0,2908.0,1.0
"dz[0, 4]",0.867,0.434,0.19,1.606,0.007,0.005,3927.0,3114.0,1.0
"dz[0, 5]",0.339,0.405,-0.336,0.983,0.007,0.006,3889.0,2643.0,1.0
"dz[0, 6]",0.96,0.439,0.265,1.718,0.007,0.005,4536.0,2936.0,1.0
"dz[0, 7]",0.493,0.547,-0.378,1.378,0.01,0.008,3074.0,2319.0,1.0
"dz[0, 8]",2.036,0.542,1.177,2.946,0.008,0.006,4281.0,3170.0,1.0
"dz[0, 9]",1.321,0.498,0.497,2.123,0.008,0.006,3531.0,3040.0,1.0
"dz[0, 10]",0.026,0.414,-0.637,0.716,0.006,0.007,4575.0,2891.0,1.0
"dz[0, 11]",1.512,0.525,0.638,2.331,0.009,0.007,3636.0,3041.0,1.0
"dz[0, 12]",0.605,0.466,-0.199,1.331,0.008,0.006,3718.0,2907.0,1.0
"dz[0, 13]",0.493,0.422,-0.164,1.212,0.007,0.005,3915.0,2995.0,1.0
"dz[0, 14]",0.112,0.402,-0.562,0.781,0.006,0.006,4360.0,2988.0,1.0
"dz[0, 15]",0.668,0.527,-0.257,1.457,0.009,0.007,3870.0,2679.0,1.0
"dz[0, 16]",0.003,0.419,-0.716,0.665,0.006,0.007,5252.0,2758.0,1.0
"dz[0, 17]",1.091,0.459,0.352,1.855,0.007,0.005,4329.0,2988.0,1.0
"dz[0, 18]",1.124,0.477,0.299,1.865,0.008,0.006,3862.0,3303.0,1.0
"dz[0, 19]",0.317,0.406,-0.343,0.969,0.007,0.006,3514.0,2656.0,1.0
"dz[0, 20]",1.409,0.47,0.607,2.16,0.007,0.005,4529.0,2673.0,1.01
"dz[0, 21]",0.264,0.418,-0.398,0.99,0.007,0.006,3911.0,2857.0,1.0
"dz[0, 22]",1.142,0.466,0.369,1.893,0.008,0.006,3704.0,2689.0,1.0
"dz[0, 23]",0.9,0.486,0.119,1.736,0.008,0.006,3446.0,2872.0,1.0
"dz[0, 24]",1.419,0.47,0.646,2.173,0.007,0.005,4402.0,2792.0,1.0
"dz[0, 25]",0.239,0.563,-0.662,1.202,0.01,0.008,3396.0,2838.0,1.0
"dz[0, 26]",0.405,0.409,-0.259,1.084,0.007,0.006,3247.0,2445.0,1.0
"dz[0, 27]",0.6,0.415,-0.071,1.285,0.006,0.005,5322.0,2805.0,1.0
"dz[0, 28]",0.838,0.43,0.111,1.517,0.006,0.005,5330.0,2879.0,1.0
"dz[0, 29]",-0.715,0.381,-1.333,-0.086,0.006,0.004,4500.0,3016.0,1.0
"dz[0, 30]",-0.902,0.387,-1.508,-0.238,0.006,0.004,4043.0,2976.0,1.0
"dz[0, 31]",-0.933,0.42,-1.621,-0.249,0.007,0.005,3764.0,2921.0,1.0
"dz[0, 32]",1.548,0.475,0.776,2.305,0.007,0.005,4981.0,3088.0,1.0
"dz[0, 33]",0.123,0.431,-0.576,0.832,0.006,0.007,4890.0,2837.0,1.0
"dz[0, 34]",1.154,0.467,0.38,1.909,0.007,0.006,4191.0,3037.0,1.0
"dz[0, 35]",-1.004,0.378,-1.619,-0.37,0.006,0.004,3716.0,2954.0,1.0
"dz[0, 36]",1.128,0.458,0.358,1.836,0.007,0.005,4711.0,2669.0,1.0
"dz[0, 37]",-0.031,0.412,-0.756,0.61,0.007,0.006,3649.0,3172.0,1.0
"dz[0, 38]",-0.278,0.4,-0.923,0.388,0.006,0.006,4112.0,2946.0,1.0
"dz[0, 39]",1.198,0.453,0.484,1.988,0.007,0.005,4516.0,2888.0,1.0
"dz[0, 40]",0.181,0.398,-0.491,0.81,0.006,0.006,3805.0,3241.0,1.0
"dz[0, 41]",0.006,0.392,-0.636,0.652,0.006,0.006,4790.0,2951.0,1.0
"dz[0, 42]",-0.674,0.39,-1.333,-0.062,0.006,0.005,3977.0,3075.0,1.0
"dz[0, 43]",-0.239,0.396,-0.874,0.416,0.006,0.005,4648.0,2811.0,1.0
"dz[0, 44]",1.266,0.474,0.428,1.99,0.007,0.005,4572.0,2688.0,1.0
"dz[0, 45]",0.85,0.45,0.115,1.597,0.006,0.005,4905.0,2790.0,1.0
"dz[0, 46]",1.194,0.538,0.319,2.058,0.01,0.007,3289.0,2399.0,1.0
"dz[0, 47]",0.655,0.434,-0.049,1.367,0.007,0.006,3774.0,2935.0,1.0
"dz[0, 48]",1.234,0.455,0.467,1.964,0.007,0.005,4157.0,3038.0,1.0
"dz[0, 49]",0.095,0.601,-0.899,1.074,0.01,0.01,3457.0,2685.0,1.0
"dz[0, 50]",0.779,0.425,0.096,1.484,0.006,0.005,4834.0,2972.0,1.0
"dz[0, 51]",0.766,0.435,0.116,1.547,0.007,0.005,4045.0,3172.0,1.0
"dz[0, 52]",2.331,0.548,1.439,3.231,0.008,0.006,5129.0,2938.0,1.0
"dz[0, 53]",-0.044,0.394,-0.661,0.636,0.006,0.006,3814.0,2773.0,1.0
"dz[0, 54]",1.741,0.5,0.904,2.533,0.007,0.006,4631.0,3006.0,1.0
"dz[0, 55]",-0.092,0.393,-0.724,0.574,0.006,0.006,4131.0,2988.0,1.0
"dz[0, 56]",1.058,0.537,0.13,1.869,0.01,0.008,2995.0,2523.0,1.0
"dz[0, 57]",0.172,0.407,-0.469,0.872,0.007,0.006,3789.0,3165.0,1.0
