,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"d[0, 0]",0.932,0.27,0.505,1.388,0.003,0.002,7710.0,3089.0,1.0
"d[0, 1]",1.382,0.293,0.888,1.844,0.004,0.003,6764.0,3096.0,1.0
"d[0, 2]",1.363,0.279,0.911,1.821,0.003,0.002,7825.0,2594.0,1.0
"d[0, 3]",2.113,0.303,1.626,2.613,0.003,0.002,9743.0,2805.0,1.0
"d[0, 4]",1.551,0.269,1.12,1.989,0.003,0.002,8617.0,3409.0,1.0
"d[0, 5]",1.267,0.27,0.847,1.72,0.003,0.002,9184.0,3376.0,1.0
"d[0, 6]",1.586,0.276,1.136,2.041,0.003,0.002,9391.0,2803.0,1.0
"d[0, 7]",1.267,0.309,0.775,1.77,0.004,0.003,6227.0,2958.0,1.0
"d[0, 8]",2.076,0.303,1.582,2.563,0.004,0.003,7267.0,3215.0,1.0
"d[0, 9]",1.752,0.293,1.258,2.208,0.003,0.002,7567.0,3272.0,1.0
"d[0, 10]",1.009,0.283,0.569,1.501,0.003,0.002,9529.0,2561.0,1.0
"d[0, 11]",1.816,0.306,1.299,2.308,0.004,0.003,6573.0,2721.0,1.0
"d[0, 12]",1.397,0.279,0.963,1.886,0.003,0.002,7072.0,3252.0,1.0
"d[0, 13]",1.349,0.272,0.88,1.768,0.003,0.002,7487.0,3064.0,1.0
"d[0, 14]",1.149,0.263,0.719,1.581,0.003,0.002,9141.0,2975.0,1.0
"d[0, 15]",1.363,0.308,0.849,1.86,0.004,0.003,7438.0,3080.0,1.0
"d[0, 16]",1.036,0.265,0.595,1.471,0.003,0.002,8426.0,3095.0,1.0
"d[0, 17]",1.678,0.28,1.213,2.124,0.003,0.002,9090.0,3306.0,1.0
"d[0, 18]",1.653,0.299,1.175,2.138,0.003,0.003,7605.0,3005.0,1.0
"d[0, 19]",1.261,0.273,0.83,1.714,0.003,0.002,8263.0,3203.0,1.0
"d[0, 20]",1.796,0.285,1.336,2.259,0.003,0.002,11643.0,2970.0,1.0
"d[0, 21]",1.229,0.274,0.816,1.712,0.003,0.002,6867.0,2695.0,1.0
"d[0, 22]",1.692,0.278,1.21,2.124,0.003,0.002,7085.0,3217.0,1.0
"d[0, 23]",1.537,0.294,1.044,2.012,0.004,0.003,6127.0,2604.0,1.0
"d[0, 24]",1.819,0.291,1.328,2.28,0.003,0.002,10390.0,2954.0,1.0
