,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d_high_mean,2.08,0.07,1.971,2.2,0.001,0.001,3447.0,3231.0,1.0
c_high_mean,0.034,0.058,-0.065,0.125,0.001,0.001,4882.0,3137.0,1.0
"high[0, 0]",1.538,0.308,1.022,2.035,0.005,0.004,3998.0,3027.0,1.0
"high[0, 1]",-0.516,0.164,-0.793,-0.25,0.003,0.002,4032.0,3240.0,1.0
"high[1, 0]",2.165,0.353,1.597,2.751,0.005,0.004,4749.0,3379.0,1.0
"high[1, 1]",-0.549,0.189,-0.863,-0.241,0.003,0.002,4974.0,3326.0,1.0
"high[2, 0]",2.001,0.305,1.535,2.527,0.003,0.002,8872.0,2860.0,1.0
"high[2, 1]",0.574,0.167,0.306,0.843,0.002,0.001,7718.0,2673.0,1.0
"high[3, 0]",3.019,0.363,2.428,3.601,0.005,0.003,6405.0,2949.0,1.0
"high[3, 1]",0.336,0.211,-0.014,0.679,0.003,0.002,5361.0,2974.0,1.0
"high[4, 0]",2.252,0.316,1.719,2.741,0.004,0.003,5805.0,2997.0,1.0
"high[4, 1]",-0.018,0.174,-0.325,0.245,0.002,0.003,6293.0,3142.0,1.0
"high[5, 0]",1.874,0.29,1.364,2.323,0.004,0.003,6176.0,2642.0,1.0
"high[5, 1]",0.031,0.16,-0.213,0.312,0.002,0.003,6231.0,2482.0,1.0
"high[6, 0]",2.268,0.313,1.774,2.801,0.003,0.003,8363.0,2807.0,1.0
"high[6, 1]",0.419,0.171,0.127,0.693,0.002,0.002,7888.0,3161.0,1.0
"high[7, 0]",2.177,0.435,1.433,2.837,0.007,0.005,3762.0,2730.0,1.0
"high[7, 1]",-0.962,0.23,-1.333,-0.599,0.004,0.003,3453.0,2875.0,1.0
"high[8, 0]",3.059,0.398,2.418,3.726,0.006,0.004,4466.0,2853.0,1.0
"high[8, 1]",-0.146,0.222,-0.518,0.214,0.003,0.003,4428.0,2888.0,1.0
"high[9, 0]",2.582,0.353,1.992,3.143,0.005,0.004,4818.0,3111.0,1.0
"high[9, 1]",-0.203,0.19,-0.521,0.101,0.003,0.002,4850.0,3129.0,1.0
"high[10, 0]",1.617,0.303,1.105,2.096,0.003,0.002,8941.0,2824.0,1.0
"high[10, 1]",0.811,0.167,0.547,1.096,0.002,0.002,6541.0,2473.0,1.0
"high[11, 0]",2.745,0.389,2.093,3.376,0.006,0.004,4232.0,2680.0,1.0
"high[11, 1]",-0.408,0.212,-0.76,-0.068,0.003,0.003,4230.0,2694.0,1.0
"high[12, 0]",2.098,0.323,1.575,2.619,0.004,0.003,5335.0,3311.0,1.0
"high[12, 1]",-0.319,0.175,-0.601,-0.032,0.002,0.002,5150.0,3020.0,1.0
"high[13, 0]",2.015,0.314,1.492,2.498,0.004,0.003,5344.0,2988.0,1.0
"high[13, 1]",-0.185,0.168,-0.444,0.102,0.002,0.002,5056.0,3130.0,1.0
"high[14, 0]",1.712,0.281,1.258,2.175,0.003,0.002,7205.0,3609.0,1.0
"high[14, 1]",0.172,0.15,-0.076,0.419,0.002,0.002,5810.0,3122.0,1.0
"high[15, 0]",2.284,0.424,1.558,2.939,0.007,0.006,3465.0,2409.0,1.0
"high[15, 1]",-0.857,0.227,-1.24,-0.507,0.004,0.003,3259.0,2516.0,1.0
"high[16, 0]",1.617,0.29,1.153,2.09,0.003,0.003,6932.0,2765.0,1.0
"high[16, 1]",0.62,0.161,0.348,0.872,0.002,0.001,7319.0,2654.0,1.0
"high[17, 0]",2.404,0.327,1.862,2.934,0.004,0.003,6239.0,2759.0,1.0
"high[17, 1]",0.081,0.177,-0.202,0.379,0.002,0.003,5331.0,2414.0,1.0
"high[18, 0]",2.461,0.349,1.889,3.035,0.006,0.004,3901.0,2812.0,1.0
"high[18, 1]",-0.299,0.19,-0.629,-0.014,0.003,0.002,3854.0,2548.0,1.0
"high[19, 0]",1.872,0.302,1.41,2.406,0.004,0.003,5753.0,3101.0,1.0
"high[19, 1]",-0.112,0.16,-0.363,0.165,0.002,0.002,5214.0,2635.0,1.0
"high[20, 0]",2.552,0.329,2.005,3.069,0.004,0.003,7072.0,2660.0,1.0
"high[20, 1]",0.474,0.188,0.17,0.785,0.002,0.002,8800.0,2420.0,1.0
"high[21, 0]",1.837,0.294,1.359,2.326,0.004,0.003,5506.0,3277.0,1.0
"high[21, 1]",-0.132,0.156,-0.391,0.121,0.002,0.002,5394.0,3187.0,1.0
"high[22, 0]",2.442,0.321,1.92,2.985,0.004,0.003,5563.0,3523.0,1.0
"high[22, 1]",-0.071,0.177,-0.36,0.22,0.002,0.003,5491.0,3121.0,1.0
"high[23, 0]",2.339,0.361,1.754,2.961,0.006,0.004,4104.0,3325.0,1.0
