,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"yh[0, 0]",22.292,2.008,20.0,25.0,0.032,0.022,4018.0,3856.0,1.0
"yh[0, 1]",23.488,1.529,21.0,25.0,0.024,0.017,4027.0,3757.0,1.0
"yh[0, 2]",16.508,3.128,11.0,21.0,0.045,0.032,4917.0,3420.0,1.0
"yh[0, 3]",21.738,2.23,19.0,25.0,0.031,0.022,5065.0,4000.0,1.0
"yh[0, 4]",21.66,2.229,19.0,25.0,0.032,0.023,4703.0,3938.0,1.0
"yh[0, 5]",20.3,2.556,16.0,24.0,0.038,0.027,4451.0,3858.0,1.0
"yh[0, 6]",18.847,2.815,14.0,23.0,0.04,0.028,4902.0,3555.0,1.0
"yh[0, 7]",24.301,1.033,23.0,25.0,0.016,0.011,4092.0,3792.0,1.0
"yh[0, 8]",23.515,1.548,21.0,25.0,0.024,0.017,4116.0,3466.0,1.0
"yh[0, 9]",23.063,1.704,21.0,25.0,0.027,0.019,3954.0,4000.0,1.0
"yh[0, 10]",12.509,3.335,6.0,17.0,0.046,0.033,5176.0,3688.0,1.0
"yh[0, 11]",23.83,1.34,22.0,25.0,0.021,0.015,4232.0,3630.0,1.0
"yh[0, 12]",22.61,1.914,20.0,25.0,0.03,0.021,4170.0,3283.0,1.0
"yh[0, 13]",21.822,2.193,19.0,25.0,0.033,0.023,4546.0,3870.0,1.0
"yh[0, 14]",18.66,2.875,14.0,23.0,0.042,0.03,4618.0,3909.0,1.0
"yh[0, 15]",24.19,1.122,23.0,25.0,0.018,0.013,3841.0,3536.0,1.0
"yh[0, 16]",14.314,3.25,9.0,19.0,0.049,0.034,4471.0,3903.0,1.0
"yh[0, 17]",21.572,2.35,17.0,24.0,0.034,0.024,4852.0,3481.0,1.0
"yh[0, 18]",23.167,1.679,21.0,25.0,0.027,0.019,3860.0,3903.0,1.0
"yh[0, 19]",21.06,2.379,17.0,24.0,0.034,0.024,4806.0,3416.0,1.0
"yh[0, 20]",19.52,2.797,16.0,24.0,0.038,0.027,5362.0,3648.0,1.0
"yh[0, 21]",21.147,2.322,17.0,24.0,0.036,0.026,4271.0,3466.0,1.0
"yh[0, 22]",22.34,1.986,20.0,25.0,0.03,0.021,4508.0,3976.0,1.0
"yh[0, 23]",23.302,1.673,21.0,25.0,0.027,0.019,4129.0,3746.0,1.0
"yh[0, 24]",21.254,2.369,17.0,24.0,0.034,0.024,5063.0,3769.0,1.0
"yh[0, 25]",24.39,0.981,23.0,25.0,0.015,0.011,4170.0,3647.0,1.0
"yh[0, 26]",20.212,2.598,16.0,24.0,0.039,0.028,4486.0,3908.0,1.0
"yh[0, 27]",18.25,2.962,14.0,23.0,0.043,0.031,4750.0,3670.0,1.0
"yh[0, 28]",19.017,2.785,14.0,23.0,0.04,0.029,4779.0,3886.0,1.0
"yh[0, 29]",13.113,3.317,8.0,18.0,0.051,0.037,4294.0,3590.0,1.0
"yh[0, 30]",14.194,3.309,9.0,19.0,0.051,0.036,4308.0,3867.0,1.0
"yh[0, 31]",21.87,2.12,19.0,25.0,0.033,0.023,4235.0,4000.0,1.0
"yh[0, 32]",21.147,2.389,17.0,24.0,0.034,0.024,5180.0,3811.0,1.0
"yh[0, 33]",14.179,3.34,8.0,19.0,0.047,0.033,5131.0,3700.0,1.0
"yh[0, 34]",22.315,1.986,20.0,25.0,0.03,0.021,4495.0,4000.0,1.0
"yh[0, 35]",17.773,3.021,13.0,22.0,0.047,0.033,4132.0,3729.0,1.0
